description,price,product_id
Alfajor Chocolate Fulbito 30g,"$95,97",li_prod00562311
Alfajor Mani Fulbito 30g,"$95,97",li_prod00562312
Alfajor Negro Nevares 45g,"$155,79",li_prod00562307
Alfajor Blanco Nevares 45g,"$155,79",li_prod00562308
Alfajor Mousse Chocolate Smack 50g,"$247,60",li_prod00562359
Mini Torta Vainilla Rellena Sabor Membrillo Aires De Luján 30g,"$147,43",li_prod00562291
Mini Torta Rellena Sabor Vainilla Aires De Luján 30g,"$147,43",li_prod00562290
Mini Torta Vainilla Rellenas Sabor Frutilla  Aires De Luján 30g,"$147,43",li_prod00562303
Alfajor Triple TERRABUSI Torta 70g,"$115,96",li_prod00140105
Mini Tapitas De Alfajores Fantoche 350 Grm,"$888,86",li_prod00115595
Alfajor Negro Con Dulce De Leche Genio 60g,"$235,10",li_prod00562318
Mini Torta Rellena De Dulce De Leche Picnic 38g,"$207,26",li_prod00562294
Alfajor Relleno Mousse De Frutilla Bienva 40 Grm,"$223,64",li_prod00539356
Alfajor TERRABUSI Chocolate Clásico 50g,"$1.244,28",li_prod00002722
Alfajor Triple Blanco Fantoche 510 Grm,"$2.315,24",li_prod00558100
Alfajor Rell.Mouss Frutilla Alfa Pampa Fwp 39 Grm,"$300,49",li_prod00531285
Alfajor Relleno Mousse De Limon Bienva 40 Grm,"$223,64",li_prod00539357
Alfajor Relleno Mousse Avellana Alfa Pampa Fwp 39 Grm,"$300,49",li_prod00531276
Alfajor D/Arroz Limón Chocoarroz Fwp 22 Grm,"$229,37",li_prod00513643
Alfajor Negro Dulce De Leche Con Stevia Bienva 38 Grm,"$312,89",li_prod00539355
Alfajor De Arroz Sabor Dulce De Leche 22 Gr,"$229,37",li_prod00513635
Alfajor D/Arroz Blanco C/Ddl Chocoarroz Fwp 22 Grm,"$229,37",li_prod00513642
Alfajor D/Arroz Marroc Chocoarroz Fwp 22 Grm,"$229,37",li_prod00513645
Alfajor Blanco Con Dulce De Leche Genio 60g,"$235,10",li_prod00562319
Alfajor Triple TERRABUSI Torta 70g,"$327,16",li_prod00140200
Alfajor MILKA Mousse 55g,"$1.200,02",li_prod00111938
Alfajor BAGLEY Chocolate 73.5 Gr X 1 Uni,"$363,67",li_prod00241412
Alfajor TERRABUSI Blanco Glaseado 38g,"$1.174,55",li_prod00007930
Alfajor TOFI Triple Blanco 73 Gr,"$385,17",li_prod00199930
Alfajor Chocolate Fantoche 300 Grm,"$1.641,21",li_prod00474448
Alfajor Minitorta Brownie Aguila 71g,"$399,61",li_prod00549927
Alfajor Minitorta Clásica Aguila 69g,"$399,61",li_prod00549925
